City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Pedra Azul,BR,61.88,clear sky,-16.0053,-41.2972,Pousada Pedra Azul
9,Bagotville,AU,68.63,scattered clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
11,Kerman,IR,74.7,clear sky,30.2832,57.0788,هتل آپارتمان آسام
12,Rockland,US,74.64,overcast clouds,41.1668,-74.0496,National Camp Association
17,Epe,NG,73.51,scattered clouds,6.5841,3.9834,MAGVILLE HOTEL
20,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
23,Police,PL,65.53,overcast clouds,53.5521,14.5718,Hotel Dobosz
25,Bulaevo,KZ,64.45,overcast clouds,54.9056,70.4439,"Игровой клуб ""ДОМ ИГР Z"""
26,Janauba,BR,74.77,clear sky,-15.8025,-43.3089,Ouro Norte Palace Hotel
27,Aktau,KZ,64.98,clear sky,43.65,51.2,Silk Way Hotel
32,Saint-Francois,FR,63.84,broken clouds,46.4154,3.9054,Manoir Du Bonheur
33,Toamasina,MG,70.25,light rain,-18.1667,49.3833,Hotel H1
34,Mananara,MG,70.84,scattered clouds,-16.1667,49.7667,Chez Roger
35,Lasa,IT,63.01,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
43,Bastia,FR,74.3,few clouds,42.6667,9.3333,Hotel Santa Maria
44,Pisticci,IT,74.8,broken clouds,40.3906,16.5568,Hotel Torre Fiore
48,Cerkezkoy,TR,64.58,mist,41.285,28.0003,City Hotel
49,Knurow,PL,64.51,overcast clouds,50.2197,18.6507,PROTOS
53,Jalu,LY,71.51,clear sky,29.0331,21.5482,صاحبة الفخامة
54,Barela,IN,74.21,heavy intensity rain,23.1,80.05,Shraddha Kewat House Jbp
62,Mizan Teferi,ET,62.73,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
69,Port Hawkesbury,CA,66.18,broken clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
72,Morondava,MG,73.72,clear sky,-20.2833,44.2833,La Case Bambou
74,Treuchtlingen,DE,61.48,overcast clouds,48.95,10.9167,Gasthof Zum Goldenen Lamm
77,Kurchum,KZ,68.56,overcast clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
80,Nouadhibou,MR,72.21,clear sky,20.931,-17.0347,El Medina
81,Zhezkazgan,KZ,68.81,scattered clouds,47.8043,67.7144,Hotel Zumrat
82,Ginir,ET,60.69,overcast clouds,7.1333,40.7,Sura Dare Village
87,Hamilton,US,67.77,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
88,Viterbo,IT,69.4,overcast clouds,42.4167,12.0833,Best Western Hotel Viterbo
89,Moengo,SR,74.57,clear sky,5.6167,-54.4,Masanga
91,Cap-Aux-Meules,CA,61.72,moderate rain,47.3821,-61.8597,Auberge Madeli
95,Quelimane,MZ,70.36,clear sky,-17.8786,36.8883,Hotel Flamingo
100,Geraldton,AU,65.12,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
102,Grand Gaube,MU,69.39,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
103,Tatawin,TN,73.27,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
111,Saint-Pierre,RE,73.29,broken clouds,-21.3393,55.4781,Lindsey Hôtel
113,Navalcarnero,ES,64.38,overcast clouds,40.2891,-4.012,Hotel Ciudad de Navalcarnero
116,Murrhardt,DE,63.81,overcast clouds,48.9819,9.5705,Hotel Restaurant Sonne-Post
118,Decatur,US,64.26,clear sky,39.8403,-88.9548,Haworth Cottage
123,Luangwa,ZM,66.83,scattered clouds,-15.6167,30.4167,Gerasimos Safari Lodge
124,Listvyagi,RU,62.92,overcast clouds,53.6772,86.951,Hotel Yeti House
125,Sergeyevka,KZ,64.58,overcast clouds,53.88,67.4158,Amina
126,Harvard,US,64.18,clear sky,42.4222,-88.6137,Baymont Inn
127,Asfi,MA,69.13,clear sky,32.2994,-9.2372,Hôtel Abda
129,Dakar,SN,73.53,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
131,Orel-Izumrud,RU,69.82,light intensity shower rain,43.4583,39.9244,Strana Magnoliy
133,Middletown,US,67.46,clear sky,39.5151,-84.3983,Center of Hope for Women and Children
135,Peniche,PT,69.3,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
136,Jumla,NP,61.83,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
138,Mahebourg,MU,69.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
139,Akcakoca,TR,62.02,overcast clouds,41.0866,31.1162,Turkuaz Beach Otel
144,Puerto Carreno,CO,74.07,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
148,Monze,ZM,68.45,clear sky,-16.2833,27.4833,Fay terry lodge
150,Busayra,JO,61.66,clear sky,30.7376,35.6078,Matan Eco Villege
151,Oneonta,US,65.08,moderate rain,42.4529,-75.0638,Hampton Inn Oneonta
152,Peachtree City,US,70.48,moderate rain,33.3968,-84.5958,Hilton Garden Inn Atlanta/Peachtree City
153,Lorca,ES,70.63,clear sky,37.6712,-1.7017,Jardines De Lorca
156,Ajdabiya,LY,70.29,clear sky,30.7554,20.2263,Almadina Hotel
157,Veliki Trnovac,RS,60.64,scattered clouds,42.4767,21.7405,Privatni smeštaj Andrejević
162,Ptghni,AM,63.63,clear sky,40.2558,44.5841,Avant Garde Hotel
167,Sanary-Sur-Mer,FR,73.62,overcast clouds,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
168,Marrakesh,MA,69.87,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
171,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,Casa Tia Villa
173,Khabary,RU,66.0,overcast clouds,53.6259,79.5345,ИП Аксёнова С.В.
174,Torrevieja,ES,74.08,clear sky,37.9787,-0.6822,Hotel Fontana Plaza
175,San Jose,US,64.78,clear sky,37.3394,-121.895,The Westin San Jose
180,Monte Carmelo,BR,74.17,clear sky,-18.7247,-47.4986,Park hotel
184,Pisco,PE,61.02,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
191,At-Bashi,KG,64.09,clear sky,41.1702,75.8106,Hostel At-Bashy
197,Zaragoza,ES,68.45,few clouds,41.6561,-0.8773,Hotel Goya
198,Zlocieniec,PL,63.05,overcast clouds,53.5329,16.0113,Hotel OMEGA - Złocieniec
199,Termoli,IT,73.83,overcast clouds,41.9888,14.9895,Hotel Mistral
202,Vila Franca Do Campo,PT,64.81,clear sky,37.7167,-25.4333,Pestana Bahia Praia
203,Rieti,IT,69.39,broken clouds,42.4072,12.8592,Hotel Miramonti
206,Beyneu,KZ,71.76,clear sky,45.3167,55.2,NUR
209,Slavonice,CZ,64.98,light rain,48.9975,15.3515,Design Hotel Besídka
211,Mahon,ES,72.16,light rain,39.8885,4.2658,ARTIEM Capri
214,Brewster,US,74.3,few clouds,41.3973,-73.6171,Heidi's Inn
216,Arona,ES,68.31,few clouds,28.0996,-16.681,Paradise Court
218,Olean,US,61.09,clear sky,42.0776,-78.4297,Best Western Plus University Inn
222,Liverpool,GB,60.58,light intensity drizzle,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
223,Cap Malheureux,MU,69.48,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
224,Alcaniz,ES,68.43,light rain,41.05,-0.1333,Hotel Ciudad de Alcañiz
227,Mattru,SL,71.94,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
232,Huarmey,PE,61.95,overcast clouds,-10.0681,-78.1522,Hotel Miramar
242,Ondjiva,AO,60.42,clear sky,-17.0667,15.7333,SOS Motel
244,Porto Novo,BJ,74.25,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
245,Tikamgarh,IN,74.48,overcast clouds,24.745,78.8333,White House
251,Kyzyl-Suu,KG,65.57,overcast clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
254,Trud,BG,62.19,clear sky,42.2333,24.7333,Къща ХВ
257,Vranjska Banja,RS,60.87,few clouds,42.555,21.9922,Inn Zormaris-M
258,Sile,TR,66.87,overcast clouds,41.1754,29.6133,Phellos Suites
263,Jackson,US,70.75,clear sky,42.4165,-122.8345,Agate Village Apartments
267,Hammelburg,DE,65.05,overcast clouds,50.1167,9.9,Kaisers Weinland Hotel
268,Altoona,US,67.89,overcast clouds,40.5187,-78.3947,Wingate by Wyndham Altoona Downtown/Medical Center
272,Gibraleon,ES,67.01,clear sky,37.3763,-6.969,Finca Caja del Agua
273,Riyadh,SA,73.54,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
275,Muros,ES,63.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
277,Heywood,GB,60.01,scattered clouds,53.5924,-2.2194,Mercure Manchester Norton Grange Hotel & Spa
283,Shubarkuduk,KZ,63.3,few clouds,49.1447,56.4872,Sirius
284,Gornyy,RU,62.8,overcast clouds,55.1153,83.9059,Gostinyy Dvor
285,Asyut,EG,74.89,clear sky,27.181,31.1837,Florence Hotel Assiut
290,Orangeburg,US,72.91,clear sky,33.4918,-80.8557,Palmetto Inn & Suites
300,Ballina,AU,69.98,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
301,Panjakent,TJ,66.0,clear sky,39.4952,67.6093,Salom Hostel
304,Cine,TR,67.1,overcast clouds,37.6117,28.0614,Otel Alabanda
308,Mizdah,LY,67.77,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
310,Biga,TR,62.2,broken clouds,40.2281,27.2422,Köşdere Otel
311,Plovdiv,BG,62.28,clear sky,42.15,24.75,Grand Hotel Plovdiv
322,Clarence Town,AU,63.61,broken clouds,-32.5833,151.7833,River Downs Cottage
324,Makat,KZ,67.68,clear sky,47.6469,53.3463,Umit
325,Anzio,IT,73.31,overcast clouds,41.4853,12.6179,Beauty Hotel & SPA
329,Quatre Cocos,MU,69.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
332,Adeje,ES,72.48,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
333,Urbana,US,64.04,clear sky,40.1106,-88.2073,America's Best Inn Urbana Champaign
334,Arnedo,ES,63.59,clear sky,42.2167,-2.1,Hotel Virrey
335,Lebork,PL,61.92,moderate rain,54.5392,17.7501,Vega
336,Bayir,TR,63.12,broken clouds,37.2687,28.2167,Hotel Babadag
341,Oni,GE,62.65,clear sky,42.5794,43.4425,countryside house
345,Trebinje,BA,68.36,clear sky,42.7119,18.3442,Hotel Aćimović
349,Xuddur,SO,74.5,broken clouds,4.1213,43.8894,Banjanay Hotel
351,Camara De Lobos,PT,74.03,scattered clouds,32.6333,-16.9667,Golden Residence Hotel
352,Hwange,ZW,70.34,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
357,Rabo De Peixe,PT,63.91,few clouds,37.8,-25.5833,Quinta das Giestas
361,Radcliff,US,70.63,clear sky,37.8404,-85.9491,Super 8 by Wyndham Radcliff Ft. Knox Area
368,Abasha,GE,68.22,overcast clouds,42.2096,42.2211,глстиница
372,Alcudia,ES,70.2,overcast clouds,39.8532,3.1214,Zafiro Tropic
379,Arazede,PT,66.79,clear sky,40.2863,-8.65,B&B Casa Nana in Portugal
380,Isagarh,IN,72.57,overcast clouds,24.8333,77.8833,ACC Cement
382,Puerto Del Rosario,ES,73.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
383,Springdale,US,74.3,clear sky,36.1867,-94.1288,Springdale Inn
384,Ponta Delgada,PT,65.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
387,Back Mountain,US,66.69,light rain,41.3359,-75.9963,Country Club Apartments
397,Hubli,IN,74.5,overcast clouds,15.35,75.1667,Hotel Swathi
398,Plymouth,US,74.17,broken clouds,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
399,Maroantsetra,MG,68.65,broken clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
402,Ponta Do Sol,PT,74.03,scattered clouds,32.6667,-17.1,Hotel do Campo
404,Ribeira Grande,PT,71.11,clear sky,38.5167,-28.7,Quinta da Meia Eira
409,Senanga,ZM,69.01,scattered clouds,-16.1167,23.2667,Zango lodge
412,Buarcos,PT,67.55,clear sky,40.166,-8.8768,Hotel Sweet Atlantic SPA
417,Margara,AM,69.17,clear sky,40.0335,44.1771,Dranaj Kafe
418,Jardim,BR,66.79,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
419,Turayf,SA,69.96,clear sky,31.6725,38.6637,Turaif
422,Ajaccio,FR,68.49,clear sky,42.0,8.9167,Sole E Monte
424,Ginda,IN,71.69,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
426,Neubrandenburg,DE,61.57,overcast clouds,53.5667,13.2667,PARKHOTEL NEUBRANDENBURG
427,Gustrow,DE,61.65,broken clouds,53.7972,12.1734,Kurhaus am Inselsee
430,Kalachinsk,RU,61.93,broken clouds,55.0529,74.5751,"Voskhod, Hotel"
433,Sukhumi,GE,68.05,broken clouds,43.0033,41.0153,Ritsa Hotel
434,Zanesville,US,67.35,broken clouds,39.9404,-82.0132,"Holiday Inn Express & Suites Zanesville North, an IHG Hotel"
437,Agara,GE,63.72,clear sky,42.0376,43.8238,Silk Road Hotel
438,Vitina,BA,68.68,overcast clouds,43.2375,17.4839,Adria centar Koćuša
439,Naftalan,AZ,67.42,clear sky,40.5067,46.825,Gashalti Health Hotel - Naftalan
443,Kalabo,ZM,68.13,few clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
445,Namibe,AO,60.85,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
447,Gat,IL,72.39,clear sky,31.61,34.7642,OlusHome
448,Penne,IT,69.42,overcast clouds,42.4538,13.9299,Bettina
449,Agadir,MA,72.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
450,Praia Da Vitoria,PT,68.76,clear sky,38.7333,-27.0667,Hotel Branco I
452,Souillac,MU,69.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
453,Georgiyevka,KZ,66.24,scattered clouds,43.0369,74.7114,Gostinitsa Imperiya
454,Lagoa,PT,70.12,clear sky,39.05,-27.9833,Casa Das Faias
463,Mantua,IT,73.17,overcast clouds,45.1667,10.7833,Hotel la Favorita
468,Phalombe,MW,68.36,clear sky,-15.8064,35.6507,RIVONIA
471,San Juan,AR,61.74,clear sky,-31.5375,-68.5364,Hotel Provincial
472,Rantoul,US,63.97,clear sky,40.3084,-88.1559,First Heritage Inn
475,Mocuba,MZ,70.7,scattered clouds,-16.8392,36.9856,Phama Lodge
482,Faya,SA,64.92,few clouds,18.3851,42.4509,املاك خالد الشعشوع
488,Sao Joao Da Barra,BR,73.63,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
493,Kazanlak,BG,60.03,few clouds,42.6167,25.4,Palas
495,Blantyre,MW,67.95,clear sky,-15.785,35.0085,Home Up Guest House
501,Bud,US,64.22,clear sky,39.447,-86.1758,Ted McQuinn Trust
502,Atbasar,KZ,66.94,overcast clouds,51.8,68.3333,Гостиничный Комплекс Saad
505,Tinglev,DK,60.84,overcast clouds,54.931,9.2524,Uge Lystfiskeri og Camping
510,Turkan,AZ,68.18,clear sky,40.3639,50.215,Samir Зона Отдыха
518,Copacabana,CO,65.01,broken clouds,6.3463,-75.5089,Hospedaje Brazil
519,Harrisburg,US,71.11,overcast clouds,40.2737,-76.8844,Hilton Harrisburg
522,San Carlos,VE,72.84,clear sky,9.6612,-68.5827,Hotel Paternopoli
523,Zemio,CF,69.26,overcast clouds,5.0314,25.1361,OCHA Office
524,Charlestown,AU,62.94,scattered clouds,-32.95,151.6667,Panorama Motor Inn Hotel
527,Sainte-Maxime,FR,73.69,light rain,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
528,Krasnyy Yar,RU,60.73,clear sky,46.5331,48.3456,Cottege near Ufa
529,Vordingborg,DK,62.02,overcast clouds,55.008,11.9106,Hotel Kong Valdemar
533,Saint Anthony,US,70.92,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
536,Griffin,US,70.27,light rain,33.2468,-84.2641,Americas Best Value Inn & Suites Griffin
539,Fraga,ES,68.83,overcast clouds,41.5229,0.3489,Hotel Casanova
540,Acari,PE,64.78,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
541,Nakambala,ZM,68.86,clear sky,-15.8324,27.7799,Staff Area
542,Marstal,DK,60.71,overcast clouds,54.8562,10.5173,Aero Hotel
543,Zliv,CZ,64.63,overcast clouds,49.0661,14.3661,Parkhotel Hluboka nad Vltavou
547,Taiobeiras,BR,63.36,clear sky,-15.8078,-42.2331,Dallas Hotel
549,Corning,US,61.23,clear sky,42.1428,-77.0547,Fairfield Inn by Marriott Corning Riverside
550,Brezovo,BG,61.39,clear sky,42.35,25.0833,Хотел - ресторант ДОН - ИДГ
553,Juybar,IR,72.79,broken clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
560,Bajram Curri,AL,64.53,overcast clouds,42.3554,20.0784,Hotel Boshnjaku
565,Dale,US,68.74,clear sky,38.1689,-86.99,"Motel 6 Dale, IN"
566,Porto Torres,IT,71.78,broken clouds,40.835,8.3972,Hotel Elisa
569,Antalaha,MG,71.73,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
571,Sainte-Marie,RE,73.78,overcast clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
573,Casablanca,MA,68.22,few clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
574,Awbari,LY,72.84,clear sky,26.5921,12.7805,فندق أوباري
576,Sant Julia De Loria,AD,60.57,overcast clouds,42.4625,1.4825,Hotel Restaurant Folch
577,Enugu,NG,73.04,overcast clouds,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
578,Schererville,US,67.77,clear sky,41.4789,-87.4548,Best Western Crossroads Inn
579,Osakarovka,KZ,63.72,scattered clouds,50.565,72.5692,Motel' Osakarovka
591,Vasto,IT,71.46,overcast clouds,42.1243,14.7059,Hotel President
593,Pirmasens,DE,61.84,overcast clouds,49.2015,7.6053,Alt Pirmasens
595,Logrono,ES,65.39,broken clouds,42.4667,-2.45,Hotel Gran Vía Logroño
596,Westerland,DE,61.02,overcast clouds,54.9079,8.3033,Dorint Strandhotel & Spa Westerland / Sylt
601,Guiglo,CI,70.88,overcast clouds,6.5456,-7.4966,Hotel GBAOLY 2
606,Navoi,UZ,67.48,clear sky,40.0844,65.3792,Silk Road Hotel Termez
609,Sabha,LY,73.58,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
614,Den Helder,NL,60.78,overcast clouds,52.9599,4.7593,Hotel Den Helder
617,Jodar,ES,62.55,clear sky,37.8406,-3.3526,Casa La Ronda
618,Soubre,CI,71.11,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
619,Arraial Do Cabo,BR,71.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
622,Atasu,KZ,67.77,few clouds,48.6814,71.6433,Dostyk
626,Mussomeli,IT,67.39,few clouds,37.5778,13.7513,Luna d'Arte
631,Port Shepstone,ZA,61.41,moderate rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
632,Badarwas,IN,73.49,overcast clouds,24.9667,77.5667,योगराज मोटर्स
635,Urumqi,CN,72.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
637,Dasoguz,TM,73.35,clear sky,41.8363,59.9666,Ташауз Отел
638,Kuryk,KZ,74.1,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
639,Nicoya,CR,71.15,light rain,10.1483,-85.452,Las Cabinas Del Sueño
641,Katastarion,GR,64.29,clear sky,37.8333,20.7667,Clio
644,Sayyan,YE,64.11,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
645,Blagoveshchensk,RU,63.21,light rain,50.2667,127.5333,Green Hostels
647,Long Beach,US,73.56,clear sky,33.767,-118.1892,The Westin Long Beach
649,Kaoma,ZM,63.68,broken clouds,-14.7833,24.8,KAOMA AIRPORT
651,Kafue,ZM,65.89,clear sky,-15.7691,28.1814,Purview Lodges Ltd
652,Schwerin,DE,60.71,overcast clouds,53.6294,11.4132,Niederländischer Hof
653,Caravelas,BR,74.07,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
656,Weymouth,US,74.25,clear sky,42.2209,-70.9398,"Boston Motel Weymouth/Boston, MA"
662,Saint-Philippe,RE,73.22,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
663,Camacha,PT,70.56,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
664,Zhanaozen,KZ,72.84,clear sky,43.3,52.8,K.korabay 28A
666,Forio,IT,73.45,broken clouds,40.7342,13.8646,Hotel Terme Providence
672,Antsohihy,MG,72.95,few clouds,-14.8796,47.9875,Hotel de Ville
674,Podgorica,ME,67.78,clear sky,42.4411,19.2636,Hotel Podgorica
681,Xacmaz,AZ,72.32,clear sky,41.4635,48.806,SAHİL HOTEL
686,Isilkul,RU,63.39,overcast clouds,54.9109,71.2728,Perekrestok Mini-Hotel
689,Santa Lucia,ES,66.11,few clouds,27.9117,-15.5407,Las Tirajanas
694,Araguari,BR,74.19,scattered clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
695,Gagnoa,CI,70.41,overcast clouds,6.1293,-5.9437,Residence Kiliyo
714,Nova Vicosa,BR,73.83,clear sky,-17.8919,-39.3719,Pousada Porto do Sol
724,Greensburg,US,66.61,mist,40.3015,-79.5389,Rodeway Inn
725,Patrocinio,BR,72.66,clear sky,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
